"scenario","run","seed","model","precision","recall","f1","accuracy","true_negatives","false_positives","false_negatives","true_positives","roc_auc","pr_auc","best_threshold","best_precision","best_recall","best_f1","best_true_negatives","best_false_positives","best_false_negatives","best_true_positives","label_source","evaluation_mode","train_samples"
"aggressive","2","1012","isolation_forest_tuned","0.542420027816412","1","0.703336339044184","0.638461538461538","191","329","0","390","0.983288954635108","0.936389660811095","0.174262996785772","0.956743002544529","0.964102564102564","0.960408684546616","503","17","14","376","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","2","1012","ocsvm","0.542420027816412","1","0.703336339044184","0.638461538461538","191","329","0","390","0.999985207100592","0.999980401732038","9.0252782677727","1","0.997435897435897","0.998716302952503","520","0","1","389","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","2","1012","isolation_forest","0.539419087136929","1","0.700808625336927","0.634065934065934","187","333","0","390","0.999644970414201","0.999528666807235","0.214507256729459","0.992307692307692","0.992307692307692","0.992307692307692","517","3","3","387","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","2","1012","ensemble_majority_vote","0.538674033149171","1","0.700179533213645","0.632967032967033","186","334","0","390","0.999704142011834","0.99959821835479","3.03761956991133","0.99236641221374","1","0.996168582375479","517","3","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","3","1013","lof","0.800875273522976","0.938461538461538","0.864226682408501","0.874041621029573","432","91","24","366","0.981874785507673","0.98115849837661","0.860263083629903","0.991666666666667","0.915384615384615","0.952","520","3","33","357","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","3","1013","ocsvm","0.559540889526542","1","0.717571297148114","0.663745892661555","216","307","0","390","1","1","8.10255746713164","1","1","1","523","0","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","3","1013","ensemble_majority_vote","0.557142857142857","1","0.715596330275229","0.660460021905805","213","310","0","390","1","1","2.7366380504424","1","1","1","523","0","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","3","1013","isolation_forest_tuned","0.552407932011331","1","0.711678832116788","0.653888280394304","207","316","0","390","0.997377065254694","0.986879445161411","0.169412967301693","0.989847715736041","1","0.994897959183673","519","4","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","3","1013","isolation_forest","0.550847457627119","1","0.710382513661202","0.651697699890471","205","318","0","390","0.990626072461636","0.950017310790153","0.189094163845646","0.955882352941177","1","0.977443609022556","505","18","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","4","1014","lof","0.592471358428805","0.970509383378016","0.735772357723577","0.708846584546473","271","249","11","362","0.981109507114869","0.985150769801963","4.44667837562863","1","0.96514745308311","0.982264665757162","520","0","13","360","traffic_ground_truth_ip_window","warmup_normal_baseline","122"
